扫描目标: http://example.com
扫描时间: 2025-10-20 11:35:49
发现路径: 97 个

[403] http://example.com/.git/logs/HEAD (大小: 387 bytes, 敏感信息: 无)
[403] http://example.com/.git/HEAD (大小: 378 bytes, 敏感信息: 无)
[403] http://example.com/.svn/entries (大小: 381 bytes, 敏感信息: 无)
[403] http://example.com/.svn (大小: 369 bytes, 敏感信息: 无)
[403] http://example.com/.bzr (大小: 369 bytes, 敏感信息: 无)
[403] http://example.com/.hg/dirstate (大小: 381 bytes, 敏感信息: 无)
[403] http://example.com/.hg (大小: 368 bytes, 敏感信息: 无)
[403] http://example.com/.svn/format (大小: 380 bytes, 敏感信息: 无)
[403] http://example.com/.svn/wc.db (大小: 383 bytes, 敏感信息: 无)
[403] http://example.com/CVS (大小: 364 bytes, 敏感信息: 无)
[403] http://example.com/.hg/store/00manifest.i (大小: 399 bytes, 敏感信息: 无)
[403] http://example.com/logs (大小: 365 bytes, 敏感信息: 无)
[403] http://example.com/.bzr/branch-format (大小: 391 bytes, 敏感信息: 无)
[403] http://example.com/access.log (大小: 375 bytes, 敏感信息: 无)
[403] http://example.com/debug.log (大小: 374 bytes, 敏感信息: 无)
[403] http://example.com/CVS/Root (大小: 373 bytes, 敏感信息: 无)
[403] http://example.com/error.log (大小: 374 bytes, 敏感信息: 无)
[403] http://example.com/nginx.log (大小: 374 bytes, 敏感信息: 无)
[403] http://example.com/log (大小: 364 bytes, 敏感信息: 无)
[403] http://example.com/logs/error.log (大小: 383 bytes, 敏感信息: 无)
[403] http://example.com/apache.log (大小: 375 bytes, 敏感信息: 无)
[403] http://example.com/phpinfo.php (大小: 376 bytes, 敏感信息: 无)
[403] http://example.com/logs/access.log (大小: 384 bytes, 敏感信息: 无)
[403] http://example.com/error_log (大小: 374 bytes, 敏感信息: 无)
[403] http://example.com/test.php (大小: 373 bytes, 敏感信息: 无)
[403] http://example.com/info.php (大小: 373 bytes, 敏感信息: 无)
[403] http://example.com/debug.php (大小: 374 bytes, 敏感信息: 无)
[403] http://example.com/server-status (大小: 378 bytes, 敏感信息: 无)
[403] http://example.com/server-info (大小: 376 bytes, 敏感信息: 无)
[403] http://example.com/phpinfo (大小: 368 bytes, 敏感信息: 无)
[403] http://example.com/thumbs.db (大小: 374 bytes, 敏感信息: 无)
[403] http://example.com/api (大小: 364 bytes, 敏感信息: 无)
